COVROW,section_type=1,numerology=1,num_prb=49,comp_type=3,seq=85
COVROW,section_type=6,numerology=0,num_prb=190,comp_type=3,seq=0
COVROW,section_type=3,numerology=0,num_prb=190,comp_type=0,seq=179
COVROW,section_type=6,numerology=3,num_prb=219,comp_type=0,seq=0
COVROW,section_type=6,numerology=0,num_prb=1,comp_type=0,seq=0
COVROW,section_type=6,numerology=4,num_prb=52,comp_type=2,seq=31
COVROW,section_type=1,numerology=4,num_prb=136,comp_type=0,seq=108
COVROW,section_type=1,numerology=4,num_prb=62,comp_type=2,seq=116
COVROW,section_type=1,numerology=2,num_prb=43,comp_type=2,seq=105
COVROW,section_type=1,numerology=2,num_prb=208,comp_type=2,seq=115
COVROW,section_type=1,numerology=4,num_prb=74,comp_type=2,seq=0
COVROW,section_type=6,numerology=4,num_prb=113,comp_type=0,seq=162
COVROW,section_type=6,numerology=0,num_prb=1,comp_type=1,seq=0
COVROW,section_type=5,numerology=0,num_prb=241,comp_type=1,seq=0
COVROW,section_type=5,numerology=0,num_prb=51,comp_type=0,seq=190
COVROW,section_type=5,numerology=1,num_prb=107,comp_type=2,seq=223
COVROW,section_type=5,numerology=1,num_prb=39,comp_type=2,seq=0
COVROW,section_type=5,numerology=1,num_prb=39,comp_type=3,seq=0
COVROW,section_type=1,numerology=1,num_prb=130,comp_type=2,seq=224
COVROW,section_type=6,numerology=3,num_prb=128,comp_type=2,seq=212
COVROW,section_type=3,numerology=3,num_prb=99,comp_type=2,seq=3
COVROW,section_type=3,numerology=3,num_prb=33,comp_type=1,seq=0
COVROW,section_type=3,numerology=3,num_prb=33,comp_type=1,seq=0
COVROW,section_type=1,numerology=3,num_prb=127,comp_type=1,seq=0
COVROW,section_type=1,numerology=0,num_prb=9,comp_type=1,seq=0
COVROW,section_type=1,numerology=1,num_prb=129,comp_type=1,seq=0
COVROW,section_type=3,numerology=4,num_prb=199,comp_type=0,seq=236
COVROW,section_type=5,numerology=4,num_prb=77,comp_type=2,seq=194
COVROW,section_type=5,numerology=4,num_prb=137,comp_type=2,seq=0
COVROW,section_type=5,numerology=0,num_prb=9,comp_type=2,seq=0
COVROW,section_type=5,numerology=2,num_prb=33,comp_type=2,seq=0
COVROW,section_type=5,numerology=1,num_prb=3,comp_type=2,seq=0
COVROW,section_type=3,numerology=0,num_prb=113,comp_type=3,seq=63
COVROW,section_type=6,numerology=0,num_prb=9,comp_type=3,seq=0
COVROW,section_type=6,numerology=2,num_prb=3,comp_type=3,seq=0
COVROW,section_type=6,numerology=3,num_prb=114,comp_type=3,seq=0
COVROW,section_type=6,numerology=4,num_prb=215,comp_type=3,seq=0
COVROW,section_type=3,numerology=2,num_prb=7,comp_type=3,seq=184
COVROW,section_type=3,numerology=2,num_prb=41,comp_type=3,seq=0
COVROW,section_type=3,numerology=2,num_prb=3,comp_type=3,seq=0
COVROW,section_type=3,numerology=3,num_prb=3,comp_type=3,seq=249
COVROW,section_type=3,numerology=3,num_prb=48,comp_type=1,seq=68
COVROW,section_type=3,numerology=1,num_prb=2,comp_type=1,seq=0
